year,yield_diff
5/1/2017,1.001818182
6/1/2017,0.844545455
7/1/2017,0.9455
8/1/2017,0.873913043
9/1/2017,0.8175
10/1/2017,0.81047619
11/1/2017,0.656666667
12/1/2017,0.5585
1/1/2018,0.551904762
2/1/2018,0.683684211
3/1/2018,0.566666667
4/1/2018,0.484761905
5/1/2018,0.465909091
6/1/2018,0.379047619
7/1/2018,0.282380952
8/1/2018,0.253478261
9/1/2018,0.236315789
10/1/2018,0.291363636
11/1/2018,0.258
12/1/2018,0.156315789
1/1/2019,0.17047619
2/1/2019,0.172105263
3/1/2019,0.161428571
4/1/2019,0.187619048
5/1/2019,0.188636364
6/1/2019,0.26
7/1/2019,0.224090909
